id,user_id,rating
the+preachers+wife+1996,246098,3
something+wicked+this+way+comes+1983,232896,4
spider-man+2002,569612,4
the+usual+suspects+1995,451817,3
gods+and+monsters+1998,303276,4
kingpin+1996,957791,4
undercover+brother+2002,18295,2
the+naked+gun+from+the+files+of+police+squad+1988,152458,5
predator+1987,873224,3
bullets+over+broadway+1994,99325,3
raging+bull+1980,406331,5
finding+nemo+2003,275339,5
clear+and+present+danger+1994,48626,4
the+usual+suspects+1995,913469,5
the+game+1997,518116,3
i+know+what+you+did+last+summer+1997,760231,1
alfie+2004,372620,4
random+hearts+1999,285308,2
boys+on+the+side+1995,184458,4
twelve+monkeys+1995,315675,3
screamers+1995,292851,4
bad+boys+1995,888399,4
bad+teacher+2011,454944,3
the+nutty+professor+1996,535184,3
monsters_+inc.+2001,959186,2
die+hard+2+1990,324046,1
pans+labyrinth+2006,759885,5
batman+forever+1995,527666,3
fargo+1996,642592,4
shes+having+a+baby+1988,432160,5
coneheads+1993,698172,3
halloween+1978,544160,4
little+miss+sunshine+2006,878482,3
pulp+fiction+1994,744661,4
bringing+up+baby+1938,21041,3
star+trek+ii+the+wrath+of+khan+1982,922207,5
the+green+mile+1999,139218,2
the+others+2001,922140,5
die+hard+1988,800486,4
the+phantom+1996,71999,2
forrest+gump+1994,280456,3
the+rock+1996,772745,1
barb+wire+1996,464037,3
moneyball+2011,764241,4
happy+gilmore+1996,120795,4
babe+1995,216490,4
whats+eating+gilbert+grape+1993,564516,4
hot+shots+part+deux+1993,91161,5
muriels+wedding+1994,841939,4
the+matrix+1999,600655,4
lethal+weapon+2+1989,948689,4
les+amants+du+pont-neuf+1991,832120,3
heat+1995,182101,5
jurassic+park+1993,477778,2
stargate+1994,375996,3
the+birds+1963,536094,5
speed+2+cruise+control+1997,944615,1
the+watcher+in+the+woods+1980,190499,5
life+of+brian+1979,229396,5
mary+poppins+1964,192054,5
confessions+of+a+dangerous+mind+2002,283003,3
the+bridges+of+madison+county+1995,411445,4
stranger+than+fiction+2006,359201,5
m+1931,38547,5
chungking+express+1994,215624,4
batman+1989,33585,3
what+lies+beneath+2000,497394,3
defending+your+life+1991,281219,3
alien+1979,590570,5
batman+forever+1995,876686,2
beverly+hills+cop+1984,77542,4
tomorrow+never+dies+1997,304355,3
forrest+gump+1994,112573,5
bill++teds+excellent+adventure+1989,401863,3
the+39+steps+1935,749758,3
titan+a.e.+2000,279663,3
thinner+1996,391656,1
the+postman+1994,74464,5
dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,255000,4
lock_+stock+and+two+smoking+barrels+1998,234780,4
there+will+be+blood+2007,509445,4
hot+shots+part+deux+1993,968762,5
a+walk+in+the+clouds+1995,32770,3
candyman+1992,922148,5
the+indian+in+the+cupboard+1995,378773,3
fantastic+mr.+fox+2009,458270,1
brazil+1985,941039,4
dumb+and+dumber+1994,905143,5
devil+girl+from+mars+1954,282596,5
the+umbrellas+of+cherbourg+1964,469729,4
body+heat+1981,521947,5
big+1988,546470,2
demolition+man+1993,138573,3
finding+nemo+2003,194372,4
public+enemies+2009,876411,2
the+lord+of+the+rings+1978,433570,5
cellular+2004,111124,2
happy-go-lucky+2008,985050,4
wild+wild+west+1999,655376,1
die+hard+with+a+vengeance+1995,97604,2
eyes+wide+shut+1999,968322,4
the+people+vs.+larry+flynt+1996,372697,4
ace+ventura+pet+detective+1994,471400,2
terminator+2+judgment+day+1991,306508,3
solaris+1972,88818,4
true+lies+1994,429570,3
perfume+the+story+of+a+murderer+2006,962969,3
the+13th+warrior+1999,566671,3
the+matrix+1999,507721,5
the+quick+and+the+dead+1995,422697,3
american+graffiti+1973,866973,5
bull+durham+1988,66259,5
monsters_+inc.+2001,607262,4
spirited+away+2001,739703,5
alice+in+wonderland+2010,120349,3
clue+1985,449284,4
a+nightmare+on+elm+street+3+dream+warriors+1987,728875,4
cruel+intentions+1999,40108,5
enemy+at+the+gates+2001,59897,4
the+lord+of+the+rings+the+fellowship+of+the+ring+2001,756357,4
ace+ventura+when+nature+calls+1995,567530,3
true+romance+1993,831733,4
the+postman+1994,117736,3
the+blind+side+2009,990863,5
pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,928665,4
corpse+bride+2005,441429,4
bounce+2000,361190,1
creature+comforts+1989,847557,4
robocop+2+1990,997695,4
cocoon+1985,631734,4
meet+the+fockers+2004,59883,3
beauty+and+the+beast+1991,339032,3
lethal+weapon+1987,441458,4
jurassic+park+iii+2001,657126,3
sense+and+sensibility+1995,402099,5
the+phantom+1996,654257,2
road+trip+2000,393485,5
toy+story+2+1999,565108,4
home+alone+1990,437975,2
lone+star+1996,544343,5
message+in+a+bottle+1999,162033,1
bull+durham+1988,560111,3
star+wars+episode+i+-+the+phantom+menace+1999,461925,5
happy+gilmore+1996,497156,5
pulp+fiction+1994,106306,5
the+pompatus+of+love+1996,227603,2
batman+forever+1995,129637,2
braveheart+1995,108991,4
the+descendants+2011,951530,3
the+incredibles+2004,475861,5
the+lord+of+the+rings+the+fellowship+of+the+ring+2001,264513,5
the+nutty+professor+1996,888757,2
gladiator+2000,799060,3
austin+powers+the+spy+who+shagged+me+1999,531252,5
balto+1995,443947,3
army+of+darkness+1992,736061,4
deliverance+1972,822663,2
minority+report+2002,167521,3
glory+1989,839777,5
the+usual+suspects+1995,991662,5
smashing+time+1967,205515,5
nausica+of+the+valley+of+the+wind+1984,805705,2
from+dusk+till+dawn+1996,742781,5
analyze+this+1999,423103,4
batman++robin+1997,558495,4
american+graffiti+1973,283002,4
gladiator+2000,531358,5
i+know+what+you+did+last+summer+1997,466821,1
the+world+is+not+enough+1999,819164,3
three+colors+blue+1993,248221,4
the+birdcage+1996,483955,5
no+mans+land+2001,461280,2
executive+decision+1996,500870,3
cape+fear+1991,691425,3
holiday+inn+1942,316569,4
mean+streets+1973,438523,5
nick+of+time+1995,268685,3
independence+day+1996,238218,4
one+day+2011,462036,5
beauty+and+the+beast+1991,942204,4
cliffhanger+1993,195930,2
pulp+fiction+1994,456192,5
clear+and+present+danger+1994,272843,3
casper+1995,124832,3
city+slickers+1991,117838,3
chicago+2002,736061,4
zack+and+miri+make+a+porno+2008,244561,2
the+birdcage+1996,180987,4
star+trek+v+the+final+frontier+1989,762948,4
saved+2004,167349,5
the+manchurian+candidate+1962,273934,4
grosse+pointe+blank+1997,485477,4
30+days+of+night+2007,15662,2
escape+from+new+york+1981,971723,3
die+hard+2+1990,195670,1
the+cable+guy+1996,330031,1
our+idiot+brother+2011,96757,3
forbidden+planet+1956,225992,4
little+odessa+1994,572796,4
dead+man+walking+1995,500870,3
youve+got+mail+1998,574173,4
aladdin+1992,75690,5
the+dark+knight+2008,662600,5
carrie+1976,443530,4
e.t.+the+extra-terrestrial+1982,275342,4
nineteen+eighty-four+1984,985615,3
batman+1989,935819,3
platoon+1986,189069,3
gods+and+monsters+1998,858506,5
the+empire+strikes+back+1980,681250,3
con+air+1997,746755,2
citizen+kane+1941,439727,5
twelfth+night+1996,432876,4
my+best+friends+wedding+1997,207068,5
footloose+2011,868659,4
saving+private+ryan+1998,68527,4
star+trek+vi+the+undiscovered+country+1991,757994,5
running+scared+1986,68106,3
private+benjamin+1980,871755,3
serpico+1973,681950,4
the+secret+of+roan+inish+1994,73280,4
the+lord+of+the+rings+the+two+towers+2002,824207,5
batman+forever+1995,113399,3
in+america+2003,876786,3
the+santa+clause+1994,298170,4
finding+nemo+2003,743527,5
first+knight+1995,23392,1
the+bourne+identity+2002,559918,4
x2+2003,873702,1
waking+ned+1998,680937,1
diabolique+1996,864135,5
the+city+of+lost+children+1995,298136,4
american+beauty+1999,71958,5
death+sentence+2007,288362,3
gran+torino+2008,894779,5
angels+and+insects+1995,456773,3
the+client+1994,192466,3
the+secret+garden+1993,918747,3
aladdin+1992,968971,4
the+shawshank+redemption+1994,627620,4
the+talk+of+the+town+1942,701430,2
crumb+1994,310240,2
the+godfather+part+ii+1974,755499,5
the+young+poisoners+handbook+1995,502685,5
the+astronauts+wife+1999,924312,3
bewitched+2005,869468,2
pulp+fiction+1994,842395,5
the+terminator+1984,783507,4
beauty+and+the+beast+1991,807082,4
dances+with+wolves+1990,301809,4
congo+1995,117707,2
the+eighth+day+1996,356293,1
memento+2000,807828,5
up+2009,293831,3
the+rocky+horror+picture+show+1975,467252,1
pokmon+spell+of+the+unknown+2000,942293,4
castle+in+the+sky+1986,206539,3
aladdin+1992,150367,3
the+net+1995,896964,4
lawnmower+man+2+beyond+cyberspace+1996,130729,1
dances+with+wolves+1990,893739,3
the+african+queen+1951,863225,5
taxi+driver+1976,364003,5
the+princess+bride+1987,68106,5
the+secret+of+roan+inish+1994,841939,4
braveheart+1995,625172,5
sgt.+bilko+1996,692361,3
salt+2010,134274,4
le+trou+1960,755269,5
arsenic+and+old+lace+1944,609329,4
the+notebook+2004,674954,5
platoon+1986,297922,3
beetlejuice+1988,667066,3
a+room+with+a+view+1985,888760,3
delicatessen+1991,205766,4
pulp+fiction+1994,525468,2
pans+labyrinth+2006,424857,5
the+40+year+old+virgin+2005,736061,4
leon+the+professional+1994,450471,4
home+alone+1990,45297,3
to+die+for+1995,993658,3
dragonheart+1996,919982,2
one+flew+over+the+cuckoos+nest+1975,26057,3
vampire+hunter+d+bloodlust+2000,997077,1
the+lion+king+1994,105234,4
mr.+hollands+opus+1995,431976,4
slumdog+millionaire+2008,892862,4
bowfinger+1999,341114,4
the+dark+knight+2008,613673,5
the+people+vs.+larry+flynt+1996,736685,3
old+school+2003,694461,4
the+matrix+1999,126687,3
